Date,Production_Line,Shift,Units_Produced,Quality_Score,Downtime_Minutes,Defects,OEE_Percentage,Temperature,Humidity
2024-01-01,Line_A,Morning,150,98.5,12,2,85.2,22.3,45.2
2024-01-01,Line_A,Evening,142,97.8,18,3,82.1,21.8,46.1
2024-01-01,Line_B,Morning,165,99.1,8,1,89.3,23.1,44.8
2024-01-01,Line_B,Evening,158,98.9,15,2,86.7,22.9,45.5
2024-01-02,Line_A,Morning,148,98.2,14,3,83.4,22.5,45.8
2024-01-02,Line_A,Evening,145,97.5,22,4,80.2,21.6,46.3
2024-01-02,Line_B,Morning,162,99.3,10,1,88.1,23.2,44.6
2024-01-02,Line_B,Evening,155,98.7,17,2,85.9,22.7,45.2
2024-01-03,Line_A,Morning,152,98.8,11,2,86.1,22.8,45.0
2024-01-03,Line_A,Evening,149,98.1,19,3,82.8,21.9,46.0
2024-01-03,Line_B,Morning,168,99.5,6,0,91.2,23.4,44.3
2024-01-03,Line_B,Evening,161,99.0,13,1,87.5,23.0,45.1
2024-01-04,Line_A,Morning,146,97.9,16,4,81.5,22.2,45.9
2024-01-04,Line_A,Evening,143,97.3,24,5,78.9,21.5,46.4
2024-01-04,Line_B,Morning,159,98.8,12,2,86.9,23.1,44.7
2024-01-04,Line_B,Evening,156,98.5,18,3,84.2,22.8,45.3
2024-01-05,Line_A,Morning,151,98.6,13,2,85.8,22.6,45.1
2024-01-05,Line_A,Evening,147,98.0,20,3,82.5,21.7,46.2
2024-01-05,Line_B,Morning,164,99.2,9,1,88.7,23.3,44.5
2024-01-05,Line_B,Evening,157,98.9,16,2,86.1,22.9,45.4
